Route_id,x,y,z
0,675,0,300
0,600,0,300
0,525,0,300
0,450,0,300
0,450,0,375
0,450,0,450
0,450,0,525
0,450,0,600
0,525,0,600
0,600,0,600
0,675,0,600
3,225,0,600
3,300,0,600
3,375,0,600
3,450,0,600
3,450,0,525
3,450,0,450
3,450,0,375
3,450,0,300
3,450,0,225
3,450,0,150
3,375,0,150
3,300,0,150
3,225,0,150
3,150,0,150
3,75,0,150
3,0,0,150
3,0,0,75
3,0,0,0
3,75,0,0
3,150,0,0
3,225,0,0
3,300,0,0
3,375,0,0
3,450,0,0
3,525,0,0
3,600,0,0
3,675,0,0
3,750,0,0
3,825,0,0
3,900,0,0
3,975,0,0
3,1050,0,0
3,1125,0,0
3,1200,0,0
3,1275,0,0
3,1350,0,0
3,1350,0,75
3,1350,0,150
3,1275,0,150
3,1200,0,150
3,1125,0,150
4,675,0,150
4,600,0,150
4,525,0,150
4,450,0,150
4,450,0,75
4,450,0,0
4,525,0,0
4,600,0,0
4,675,0,0
4,750,0,0
4,825,0,0
4,900,0,0
4,975,0,0
4,1050,0,0
4,1125,0,0
4,1050,0,0
4,975,0,0
4,900,0,0
4,825,0,0
4,750,0,0
4,675,0,0
4,750,0,0
4,825,0,0
4,900,0,0
4,900,0,75
4,900,0,150
4,900,0,225
4,900,0,300
4,900,0,375
4,900,0,450
4,900,0,525
4,900,0,600
4,975,0,600
4,1050,0,600
4,1125,0,600
6,225,0,150
6,150,0,150
6,75,0,150
6,0,0,150
6,0,0,225
6,0,0,300
6,0,0,375
6,0,0,450
6,0,0,525
6,0,0,600
6,75,0,600
6,150,0,600
6,225,0,600
6,300,0,600
6,375,0,600
6,450,0,600
6,525,0,600
6,600,0,600
6,675,0,600
6,750,0,600
6,825,0,600
6,900,0,600
6,975,0,600
6,1050,0,600
6,1125,0,600
6,1200,0,600
6,1275,0,600
6,1350,0,600
6,1350,0,525
6,1350,0,450
6,1275,0,450
6,1200,0,450
6,1125,0,450
6,1050,0,450
6,975,0,450
6,900,0,450
6,900,0,375
6,900,0,300
6,900,0,225
6,900,0,150
6,900,0,75
6,900,0,0
6,975,0,0
6,1050,0,0
6,1125,0,0
6,1200,0,0
6,1275,0,0
6,1350,0,0
6,1350,0,75
6,1350,0,150
6,1275,0,150
