Truck_id,Route_id,Pick_station,Drop_station
0,0,"(225, 0, 600)","(1125, 0, 0)"
1,1,"(225, 0, 0)","(675, 0, 0)"
2,2,"(675, 0, 0)","(675, 0, 450)","(675, 0, 450)","(1125, 0, 450)","(675, 0, 450)","(225, 0, 0)","(225, 0, 0)","(1125, 0, 450)","(1125, 0, 450)","(225, 0, 600)","(225, 0, 600)","(675, 0, 150)"
3,3,"(225, 0, 0)","(1125, 0, 150)","(1125, 0, 150)","(225, 0, 0)","(225, 0, 0)","(225, 0, 450)","(225, 0, 450)","(1125, 0, 450)","(1125, 0, 450)","(675, 0, 600)"
4,4,"(675, 0, 300)","(225, 0, 450)","(225, 0, 450)","(225, 0, 0)"
9,9,"(1125, 0, 300)","(1125, 0, 150)"
10,10,"(1125, 0, 0)","(225, 0, 0)"
11,11,"(225, 0, 150)","(675, 0, 600)"
15,15,"(675, 0, 300)","(675, 0, 450)","(675, 0, 450)","(675, 0, 300)"
16,16,"(225, 0, 150)","(225, 0, 300)"
17,17,"(225, 0, 300)","(1125, 0, 600)"
20,20,"(1125, 0, 450)","(225, 0, 150)","(225, 0, 150)","(1125, 0, 150)","(1125, 0, 150)","(225, 0, 150)"
23,23,"(1125, 0, 150)","(1125, 0, 0)"
27,27,"(675, 0, 600)","(225, 0, 150)","(225, 0, 150)","(675, 0, 450)","(675, 0, 450)","(225, 0, 150)"
28,28,"(1125, 0, 300)","(675, 0, 0)"
29,29,"(1125, 0, 150)","(225, 0, 450)","(225, 0, 450)","(225, 0, 300)"
31,31,"(1125, 0, 450)","(1125, 0, 0)"
32,32,"(225, 0, 450)","(675, 0, 300)"
35,35,"(1125, 0, 300)","(1125, 0, 600)"
36,36,"(225, 0, 450)","(225, 0, 600)","(225, 0, 600)","(675, 0, 150)","(675, 0, 150)","(675, 0, 300)","(675, 0, 300)","(225, 0, 300)"
37,37,"(1125, 0, 0)","(225, 0, 150)","(225, 0, 150)","(675, 0, 0)","(675, 0, 0)","(1125, 0, 150)","(1125, 0, 150)","(1125, 0, 600)"
42,42,"(675, 0, 150)","(225, 0, 0)"
44,44,"(225, 0, 600)","(1125, 0, 0)"
46,46,"(1125, 0, 600)","(675, 0, 150)","(675, 0, 150)","(1125, 0, 600)"
48,48,"(225, 0, 300)","(225, 0, 0)","(225, 0, 0)","(1125, 0, 150)","(1125, 0, 150)","(225, 0, 300)"
