Route_id,x,y,z
0,225,0,300
0,150,0,300
0,75,0,300
0,0,0,300
0,0,0,375
0,0,0,450
0,0,0,525
0,0,0,600
0,75,0,600
0,150,0,600
0,225,0,600
0,300,0,600
0,375,0,600
0,450,0,600
0,525,0,600
0,600,0,600
0,675,0,600
0,750,0,600
0,825,0,600
0,900,0,600
0,975,0,600
0,1050,0,600
0,1125,0,600
1,225,0,450
1,150,0,450
1,75,0,450
1,0,0,450
1,0,0,525
1,0,0,600
1,75,0,600
1,150,0,600
1,225,0,600
1,300,0,600
1,375,0,600
1,450,0,600
1,450,0,525
1,450,0,450
1,450,0,375
1,450,0,300
1,375,0,300
1,300,0,300
1,225,0,300
2,225,0,450
2,150,0,450
2,75,0,450
2,0,0,450
2,0,0,525
2,0,0,600
2,75,0,600
2,150,0,600
2,225,0,600
2,300,0,600
2,375,0,600
2,450,0,600
2,525,0,600
2,600,0,600
2,675,0,600
2,750,0,600
2,825,0,600
2,900,0,600
2,975,0,600
2,1050,0,600
2,1125,0,600
2,1200,0,600
2,1275,0,600
2,1350,0,600
2,1350,0,525
2,1350,0,450
2,1350,0,375
2,1350,0,300
2,1275,0,300
2,1200,0,300
2,1125,0,300
2,1050,0,300
2,975,0,300
2,900,0,300
2,900,0,225
2,900,0,150
2,900,0,75
2,900,0,0
2,975,0,0
2,1050,0,0
2,1125,0,0
2,1200,0,0
2,1275,0,0
2,1350,0,0
2,1350,0,75
2,1350,0,150
2,1275,0,150
2,1200,0,150
2,1125,0,150
2,1050,0,150
2,975,0,150
2,900,0,150
2,900,0,75
2,900,0,0
2,975,0,0
2,1050,0,0
2,1125,0,0
2,1050,0,0
2,975,0,0
2,900,0,0
2,900,0,75
2,900,0,150
2,900,0,225
2,900,0,300
2,825,0,300
2,750,0,300
2,675,0,300
2,600,0,300
2,525,0,300
2,450,0,300
2,375,0,300
2,300,0,300
2,225,0,300
3,675,0,0
3,750,0,0
3,825,0,0
3,900,0,0
3,975,0,0
3,1050,0,0
3,1125,0,0
3,1200,0,0
3,1275,0,0
3,1350,0,0
3,1350,0,75
3,1350,0,150
3,1350,0,225
3,1350,0,300
3,1350,0,375
3,1350,0,450
3,1350,0,525
3,1350,0,600
3,1275,0,600
3,1200,0,600
3,1125,0,600
3,1050,0,600
3,975,0,600
3,900,0,600
3,900,0,525
3,900,0,450
3,825,0,450
3,750,0,450
3,675,0,450
3,600,0,450
3,525,0,450
3,450,0,450
3,450,0,375
3,450,0,300
3,375,0,300
3,300,0,300
3,225,0,300
4,675,0,600
4,750,0,600
4,825,0,600
4,900,0,600
4,975,0,600
4,1050,0,600
4,1125,0,600
4,1050,0,600
4,975,0,600
4,900,0,600
4,825,0,600
4,750,0,600
4,675,0,600
4,600,0,600
4,525,0,600
4,450,0,600
4,375,0,600
4,300,0,600
4,225,0,600
5,1125,0,600
5,1200,0,600
5,1275,0,600
5,1350,0,600
5,1350,0,525
5,1350,0,450
5,1350,0,375
5,1350,0,300
5,1275,0,300
5,1200,0,300
5,1125,0,300
5,1050,0,300
5,975,0,300
5,900,0,300
5,900,0,375
5,900,0,450
5,825,0,450
5,750,0,450
5,675,0,450
6,675,0,0
6,750,0,0
6,825,0,0
6,900,0,0
6,975,0,0
6,1050,0,0
6,1125,0,0
6,1050,0,0
6,975,0,0
6,900,0,0
6,900,0,75
6,900,0,150
6,900,0,225
6,900,0,300
6,825,0,300
6,750,0,300
6,675,0,300
6,600,0,300
6,525,0,300
6,450,0,300
6,375,0,300
6,300,0,300
6,225,0,300
7,225,0,150
7,150,0,150
7,75,0,150
7,0,0,150
7,0,0,75
7,0,0,0
7,75,0,0
7,150,0,0
7,225,0,0
7,300,0,0
7,375,0,0
7,450,0,0
7,450,0,75
7,450,0,150
7,450,0,225
7,450,0,300
7,450,0,375
7,450,0,450
7,450,0,525
7,450,0,600
7,525,0,600
7,600,0,600
7,675,0,600
8,675,0,600
8,750,0,600
8,825,0,600
8,900,0,600
8,975,0,600
8,1050,0,600
8,1125,0,600
8,1050,0,600
8,975,0,600
8,900,0,600
8,900,0,525
8,900,0,450
8,825,0,450
8,750,0,450
8,675,0,450
8,600,0,450
8,525,0,450
8,450,0,450
8,375,0,450
8,300,0,450
8,225,0,450
9,225,0,600
9,300,0,600
9,375,0,600
9,450,0,600
9,525,0,600
9,600,0,600
9,675,0,600
9,750,0,600
9,825,0,600
9,900,0,600
9,900,0,525
9,900,0,450
9,900,0,375
9,900,0,300
9,825,0,300
9,750,0,300
9,675,0,300
10,225,0,150
10,150,0,150
10,75,0,150
10,0,0,150
10,0,0,75
10,0,0,0
10,75,0,0
10,150,0,0
10,225,0,0
10,300,0,0
10,375,0,0
10,450,0,0
10,525,0,0
10,600,0,0
10,675,0,0
11,1125,0,0
11,1200,0,0
11,1275,0,0
11,1350,0,0
11,1350,0,75
11,1350,0,150
11,1350,0,225
11,1350,0,300
11,1350,0,375
11,1350,0,450
11,1350,0,525
11,1350,0,600
11,1275,0,600
11,1200,0,600
11,1125,0,600
12,1125,0,300
12,1050,0,300
12,975,0,300
12,900,0,300
12,900,0,225
12,900,0,150
12,900,0,75
12,900,0,0
12,825,0,0
12,750,0,0
12,675,0,0
13,675,0,150
13,600,0,150
13,525,0,150
13,450,0,150
13,450,0,225
13,450,0,300
13,450,0,375
13,450,0,450
13,375,0,450
