Route_id,x,y,z
0,225,0,600
0,300,0,600
0,375,0,600
0,450,0,600
0,525,0,600
0,600,0,600
0,675,0,600
0,750,0,600
0,825,0,600
0,900,0,600
0,900,0,525
0,900,0,450
0,900,0,375
0,900,0,300
0,900,0,225
0,900,0,150
0,900,0,75
0,900,0,0
0,975,0,0
0,1050,0,0
0,1125,0,0
1,225,0,0
1,300,0,0
1,375,0,0
1,450,0,0
1,525,0,0
1,600,0,0
1,675,0,0
2,675,0,0
2,750,0,0
2,825,0,0
2,900,0,0
2,900,0,75
2,900,0,150
2,900,0,225
2,900,0,300
2,900,0,375
2,900,0,450
2,825,0,450
2,750,0,450
2,675,0,450
2,600,0,450
2,525,0,450
2,450,0,450
2,450,0,525
2,450,0,600
2,525,0,600
2,600,0,600
2,675,0,600
2,750,0,600
2,825,0,600
2,900,0,600
2,975,0,600
2,1050,0,600
2,1125,0,600
2,1200,0,600
2,1275,0,600
2,1350,0,600
2,1350,0,525
2,1350,0,450
2,1275,0,450
2,1200,0,450
2,1125,0,450
2,1050,0,450
2,975,0,450
2,900,0,450
2,825,0,450
2,750,0,450
2,675,0,450
2,600,0,450
2,525,0,450
2,450,0,450
2,450,0,375
2,450,0,300
2,450,0,225
2,450,0,150
2,450,0,75
2,450,0,0
2,375,0,0
2,300,0,0
2,225,0,0
2,300,0,0
2,375,0,0
2,450,0,0
2,525,0,0
2,600,0,0
2,675,0,0
2,750,0,0
2,825,0,0
2,900,0,0
2,975,0,0
2,1050,0,0
2,1125,0,0
2,1200,0,0
2,1275,0,0
2,1350,0,0
2,1350,0,75
2,1350,0,150
2,1350,0,225
2,1350,0,300
2,1350,0,375
2,1350,0,450
2,1275,0,450
2,1200,0,450
2,1125,0,450
2,1050,0,450
2,975,0,450
2,900,0,450
2,825,0,450
2,750,0,450
2,675,0,450
2,600,0,450
2,525,0,450
2,450,0,450
2,450,0,525
2,450,0,600
2,375,0,600
2,300,0,600
2,225,0,600
2,300,0,600
2,375,0,600
2,450,0,600
2,525,0,600
2,600,0,600
2,675,0,600
2,750,0,600
2,825,0,600
2,900,0,600
2,900,0,525
2,900,0,450
2,900,0,375
2,900,0,300
2,900,0,225
2,900,0,150
2,825,0,150
2,750,0,150
2,675,0,150
3,225,0,0
3,300,0,0
3,375,0,0
3,450,0,0
3,525,0,0
3,600,0,0
3,675,0,0
3,750,0,0
3,825,0,0
3,900,0,0
3,975,0,0
3,1050,0,0
3,1125,0,0
3,1200,0,0
3,1275,0,0
3,1350,0,0
3,1350,0,75
3,1350,0,150
3,1275,0,150
3,1200,0,150
3,1125,0,150
3,1050,0,150
3,975,0,150
3,900,0,150
3,900,0,75
3,900,0,0
3,825,0,0
3,750,0,0
3,675,0,0
3,600,0,0
3,525,0,0
3,450,0,0
3,375,0,0
3,300,0,0
3,225,0,0
3,300,0,0
3,375,0,0
3,450,0,0
3,450,0,75
3,450,0,150
3,450,0,225
3,450,0,300
3,450,0,375
3,450,0,450
3,375,0,450
3,300,0,450
3,225,0,450
3,150,0,450
3,75,0,450
3,0,0,450
3,0,0,525
3,0,0,600
3,75,0,600
3,150,0,600
3,225,0,600
3,300,0,600
3,375,0,600
3,450,0,600
3,525,0,600
3,600,0,600
3,675,0,600
3,750,0,600
3,825,0,600
3,900,0,600
3,975,0,600
3,1050,0,600
3,1125,0,600
3,1200,0,600
3,1275,0,600
3,1350,0,600
3,1350,0,525
3,1350,0,450
3,1275,0,450
3,1200,0,450
3,1125,0,450
3,1050,0,450
3,975,0,450
3,900,0,450
3,900,0,525
3,900,0,600
3,825,0,600
3,750,0,600
3,675,0,600
4,675,0,300
4,600,0,300
4,525,0,300
4,450,0,300
4,450,0,375
4,450,0,450
4,375,0,450
4,300,0,450
4,225,0,450
4,150,0,450
4,75,0,450
4,0,0,450
4,0,0,375
4,0,0,300
4,0,0,225
4,0,0,150
4,0,0,75
4,0,0,0
4,75,0,0
4,150,0,0
4,225,0,0
9,1125,0,300
9,1050,0,300
9,975,0,300
9,900,0,300
9,900,0,225
9,900,0,150
9,900,0,75
9,900,0,0
9,975,0,0
9,1050,0,0
9,1125,0,0
9,1200,0,0
9,1275,0,0
9,1350,0,0
9,1350,0,75
9,1350,0,150
9,1275,0,150
9,1200,0,150
9,1125,0,150
10,1125,0,0
10,1050,0,0
10,975,0,0
10,900,0,0
10,825,0,0
10,750,0,0
10,675,0,0
10,600,0,0
10,525,0,0
10,450,0,0
10,375,0,0
10,300,0,0
10,225,0,0
11,225,0,150
11,150,0,150
11,75,0,150
11,0,0,150
11,0,0,225
11,0,0,300
11,0,0,375
11,0,0,450
11,0,0,525
11,0,0,600
11,75,0,600
11,150,0,600
11,225,0,600
11,300,0,600
11,375,0,600
11,450,0,600
11,525,0,600
11,600,0,600
11,675,0,600
15,675,0,300
15,600,0,300
15,525,0,300
15,450,0,300
15,450,0,375
15,450,0,450
15,450,0,525
15,450,0,600
15,525,0,600
15,600,0,600
15,675,0,600
15,750,0,600
15,825,0,600
15,900,0,600
15,900,0,525
15,900,0,450
15,825,0,450
15,750,0,450
15,675,0,450
15,600,0,450
15,525,0,450
15,450,0,450
15,450,0,375
15,450,0,300
15,450,0,225
15,450,0,150
15,450,0,75
15,450,0,0
15,525,0,0
15,600,0,0
15,675,0,0
15,750,0,0
15,825,0,0
15,900,0,0
15,900,0,75
15,900,0,150
15,900,0,225
15,900,0,300
15,825,0,300
15,750,0,300
15,675,0,300
16,225,0,150
16,150,0,150
16,75,0,150
16,0,0,150
16,0,0,75
16,0,0,0
16,75,0,0
16,150,0,0
16,225,0,0
16,300,0,0
16,375,0,0
16,450,0,0
16,450,0,75
16,450,0,150
16,450,0,225
16,450,0,300
16,375,0,300
16,300,0,300
16,225,0,300
17,225,0,300
17,150,0,300
17,75,0,300
17,0,0,300
17,0,0,375
17,0,0,450
17,0,0,525
17,0,0,600
17,75,0,600
17,150,0,600
17,225,0,600
17,300,0,600
17,375,0,600
17,450,0,600
17,525,0,600
17,600,0,600
17,675,0,600
17,750,0,600
17,825,0,600
17,900,0,600
17,975,0,600
17,1050,0,600
17,1125,0,600
20,1125,0,450
20,1050,0,450
20,975,0,450
20,900,0,450
20,900,0,375
20,900,0,300
20,900,0,225
20,900,0,150
20,825,0,150
20,750,0,150
20,675,0,150
20,600,0,150
20,525,0,150
20,450,0,150
20,375,0,150
20,300,0,150
20,225,0,150
20,150,0,150
20,75,0,150
20,0,0,150
20,0,0,75
20,0,0,0
20,75,0,0
20,150,0,0
20,225,0,0
20,300,0,0
20,375,0,0
20,450,0,0
20,525,0,0
20,600,0,0
20,675,0,0
20,750,0,0
20,825,0,0
20,900,0,0
20,975,0,0
20,1050,0,0
20,1125,0,0
20,1200,0,0
20,1275,0,0
20,1350,0,0
20,1350,0,75
20,1350,0,150
20,1275,0,150
20,1200,0,150
20,1125,0,150
20,1050,0,150
20,975,0,150
20,900,0,150
20,825,0,150
20,750,0,150
20,675,0,150
20,600,0,150
20,525,0,150
20,450,0,150
20,375,0,150
20,300,0,150
20,225,0,150
23,1125,0,150
23,1050,0,150
23,975,0,150
23,900,0,150
23,900,0,75
23,900,0,0
23,975,0,0
23,1050,0,0
23,1125,0,0
27,675,0,600
27,600,0,600
27,525,0,600
27,450,0,600
27,450,0,525
27,450,0,450
27,450,0,375
27,450,0,300
27,450,0,225
27,450,0,150
27,375,0,150
27,300,0,150
27,225,0,150
27,150,0,150
27,75,0,150
27,0,0,150
27,0,0,75
27,0,0,0
27,75,0,0
27,150,0,0
27,225,0,0
27,300,0,0
27,375,0,0
27,450,0,0
27,525,0,0
27,600,0,0
27,675,0,0
27,750,0,0
27,825,0,0
27,900,0,0
27,900,0,75
27,900,0,150
27,900,0,225
27,900,0,300
27,900,0,375
27,900,0,450
27,825,0,450
27,750,0,450
27,675,0,450
27,600,0,450
27,525,0,450
27,450,0,450
27,450,0,375
27,450,0,300
27,450,0,225
27,450,0,150
27,375,0,150
27,300,0,150
27,225,0,150
28,1125,0,300
28,1050,0,300
28,975,0,300
28,900,0,300
28,900,0,225
28,900,0,150
28,900,0,75
28,900,0,0
28,825,0,0
28,750,0,0
28,675,0,0
29,1125,0,150
29,1050,0,150
29,975,0,150
29,900,0,150
29,825,0,150
29,750,0,150
29,675,0,150
29,600,0,150
29,525,0,150
29,450,0,150
29,450,0,225
29,450,0,300
29,450,0,375
29,450,0,450
29,375,0,450
29,300,0,450
29,225,0,450
29,150,0,450
29,75,0,450
29,0,0,450
29,0,0,525
29,0,0,600
29,75,0,600
29,150,0,600
29,225,0,600
29,300,0,600
29,375,0,600
29,450,0,600
29,450,0,525
29,450,0,450
29,450,0,375
29,450,0,300
29,375,0,300
29,300,0,300
29,225,0,300
31,1125,0,450
31,1050,0,450
31,975,0,450
31,900,0,450
31,900,0,375
31,900,0,300
31,900,0,225
31,900,0,150
31,900,0,75
31,900,0,0
31,975,0,0
31,1050,0,0
31,1125,0,0
32,225,0,450
32,150,0,450
32,75,0,450
32,0,0,450
32,0,0,525
32,0,0,600
32,75,0,600
32,150,0,600
32,225,0,600
32,300,0,600
32,375,0,600
32,450,0,600
32,525,0,600
32,600,0,600
32,675,0,600
32,750,0,600
32,825,0,600
32,900,0,600
32,900,0,525
32,900,0,450
32,900,0,375
32,900,0,300
32,825,0,300
32,750,0,300
32,675,0,300
35,1125,0,300
35,1050,0,300
35,975,0,300
35,900,0,300
35,900,0,375
