Truck_id,Route_id,Pick_station,Drop_station
0,0,"(675, 0, 300)","(675, 0, 600)"
3,3,"(225, 0, 600)","(225, 0, 150)","(225, 0, 150)","(1125, 0, 150)"
4,4,"(675, 0, 150)","(1125, 0, 0)","(675, 0, 0)","(1125, 0, 600)"
6,6,"(225, 0, 150)","(225, 0, 600)","(225, 0, 600)","(1125, 0, 450)","(1125, 0, 450)","(1125, 0, 150)"
7,7,"(225, 0, 300)","(1125, 0, 300)"
9,9,"(1125, 0, 450)","(675, 0, 300)","(225, 0, 300)","(1125, 0, 600)"
13,13,"(1125, 0, 300)","(675, 0, 300)","(675, 0, 300)","(675, 0, 0)","(675, 0, 0)","(225, 0, 0)","(225, 0, 0)","(1125, 0, 300)"
16,16,"(225, 0, 300)","(1125, 0, 600)","(1125, 0, 600)","(675, 0, 450)","(675, 0, 450)","(1125, 0, 0)"
19,19,"(225, 0, 450)","(675, 0, 0)","(675, 0, 0)","(1125, 0, 450)"
