Truck_id, Route_id, Origin, Destination, Total Time, Arrival Time,,,,
Truck-44,Route-44,(1125.0 0.0 450.0),(675.0 0.0 450.0),56.72,0,44.102
Truck-48,Route-48,(675.0 0.0 450.0),(1125.0 0.0 600.0),61.744,0,50.716
Truck-10,Route-10,(675.0 0.0 300.0),(225.0 0.0 150.0),62.884,16.475,35.387
Truck-22,Route-22,(1125.0 0.0 450.0),(675.0 0.0 150.0),65.603,0,54.272
Truck-41,Route-41,(1125.0 0.0 300.0),(1125.0 0.0 0.0),68.123,0,56.787
Truck-1,Route-1,(675.0 0.0 0.0),(675.0 0.0 150.0),74.502,34.579,28.889
Truck-45,Route-45,(1125.0 0.0 0.0),(675.0 0.0 300.0),73.638,0,60.105
Truck-37,Route-37,(1125.0 0.0 150.0),(675.0 0.0 600.0),76.077,0,65.033
Truck-7,Route-7,(225.0 0.0 450.0),(225.0 0.0 600.0),78.099,43.079,23.933
Truck-17,Route-17,(675.0 0.0 0.0),(1125.0 0.0 600.0),80.556,0,63.924
Truck-12,Route-12,(675.0 0.0 450.0),(225.0 0.0 300.0),81.085,30.585,39.466
Truck-6,Route-6,(225.0 0.0 300.0),(225.0 0.0 0.0),84.077,42.449,30.571
Truck-29,Route-29,(225.0 0.0 600.0),(225.0 0.0 300.0),81.933,0,70.383
Truck-14,Route-14,(675.0 0.0 300.0),(225.0 0.0 0.0),86.332,19.122,56.156
Truck-19,Route-19,(225.0 0.0 150.0),(1125.0 0.0 450.0),96.553,0,85.511
Truck-38,Route-38,(1125.0 0.0 450.0),(1125.0 0.0 0.0),93.325,0,81.015
Truck-33,Route-33,(225.0 0.0 150.0),(1125.0 0.0 150.0),98.32,0,86.985
Truck-28,Route-28,(225.0 0.0 0.0),(225.0 0.0 600.0),105.073,62.594,31.423
Truck-30,Route-30,(1125.0 0.0 450.0),(1125.0 0.0 150.0),107.187,0,95.653
Truck-4,Route-4,(675.0 0.0 300.0),(1125.0 0.0 450.0),111.339,13.913,86.403
Truck-32,Route-32,(675.0 0.0 300.0),(675.0 0.0 150.0),110.197,21.764,77.398
Truck-25,Route-25,(675.0 0.0 600.0),(1125.0 0.0 150.0),115.881,0,99.265
Truck-9,Route-9,(675.0 0.0 0.0),(1125.0 0.0 450.0),116.283,47.154,58.063
Truck-18,Route-18,(225.0 0.0 0.0),(1125.0 0.0 150.0),122.357,42.327,68.361
Truck-23,Route-23,(225.0 0.0 600.0),(1125.0 0.0 150.0),126.039,0,115.025
Truck-31,Route-31,(225.0 0.0 0.0),(1125.0 0.0 0.0),129.223,65.441,52.737
Truck-3,Route-3,(225.0 0.0 450.0),(675.0 0.0 150.0),135.86,23.916,100.938
Truck-24,Route-24,(225.0 0.0 150.0),(1125.0 0.0 300.0),140.402,25.753,103.642
Truck-0,Route-0,(675.0 0.0 300.0),(1125.0 0.0 150.0),141.704,30.645,100.041
Truck-35,Route-35,(225.0 0.0 0.0),(1125.0 0.0 300.0),145.578,51.463,82.665
Truck-43,Route-43,(225.0 0.0 300.0),(1125.0 0.0 150.0),148.324,29.063,108.238
Truck-40,Route-40,(225.0 0.0 600.0),(225.0 0.0 450.0),162.258,0,149.646
Truck-33,Route-33,(225.0 0.0 150.0),(225.0 0.0 0.0),83.974,0,50.857
Truck-8,Route-8,(1125.0 0.0 0.0),(1125.0 0.0 600.0),107.539,0,74.4
Truck-47,Route-47,(1125.0 0.0 0.0),(675.0 0.0 150.0),102.049,0,80.003
Truck-17,Route-17,(1125.0 0.0 450.0),(675.0 0.0 450.0),114.507,51.589,40.857
Truck-38,Route-38,(675.0 0.0 600.0),(1125.0 0.0 300.0),125.393,0,103.333
Truck-3,Route-3,(225.0 0.0 600.0),(1125.0 0.0 450.0),136.225,0,103.077
Truck-24,Route-24,(675.0 0.0 0.0),(1125.0 0.0 600.0),138.931,0,105.795
Truck-12,Route-12,(1125.0 0.0 300.0),(675.0 0.0 300.0),138.529,60.083,56.355
Truck-28,Route-28,(1125.0 0.0 450.0),(675.0 0.0 450.0),137.402,66.104,49.229
Truck-48,Route-48,(1125.0 0.0 600.0),(675.0 0.0 150.0),153.79,0,120.643
Truck-42,Route-42,(675.0 0.0 0.0),(225.0 0.0 150.0),169.341,0,147.302
Truck-2,Route-2,(675.0 0.0 0.0),(225.0 0.0 0.0),187.463,40.382,125.018
Truck-11,Route-11,(1125.0 0.0 300.0),(225.0 0.0 300.0),191.572,0,169.523
Truck-0,Route-0,(675.0 0.0 150.0),(225.0 0.0 0.0),201.658,60.303,119.222
Truck-10,Route-10,(1125.0 0.0 300.0),(225.0 0.0 150.0),208.276,53.492,132.744
Truck-14,Route-14,(225.0 0.0 150.0),(675.0 0.0 0.0),206.972,78.033,106.866
Truck-36,Route-36,(225.0 0.0 0.0),(225.0 0.0 600.0),216.911,0,183.777
Truck-23,Route-23,(225.0 0.0 600.0),(225.0 0.0 450.0),218.048,0,196.005
Truck-35,Route-35,(675.0 0.0 300.0),(225.0 0.0 300.0),230.688,54.134,154.466
Truck-7,Route-7,(225.0 0.0 0.0),(225.0 0.0 600.0),232.626,87.958,121.232
Truck-23,Route-23,(225.0 0.0 600.0),(225.0 0.0 450.0),74.727,0,52.702
Truck-33,Route-33,(225.0 0.0 150.0),(225.0 0.0 0.0),84.126,0,51.015
Truck-11,Route-11,(1125.0 0.0 300.0),(225.0 0.0 300.0),84.813,0,62.779
Truck-2,Route-2,(675.0 0.0 0.0),(225.0 0.0 0.0),87.825,38.601,27.205
Truck-43,Route-43,(225.0 0.0 300.0),(225.0 0.0 300.0),89.792,78.791
Truck-42,Route-42,(675.0 0.0 0.0),(225.0 0.0 150.0),99.387,0,77.364
Truck-17,Route-17,(1125.0 0.0 450.0),(675.0 0.0 450.0),97.464,48.282,27.174
Truck-8,Route-8,(1125.0 0.0 0.0),(1125.0 0.0 600.0),103.488,0,70.379
Truck-47,Route-47,(1125.0 0.0 0.0),(675.0 0.0 150.0),96.801,0,74.778
Truck-35,Route-35,(675.0 0.0 300.0),(225.0 0.0 300.0),110.766,62.127,26.596
Truck-48,Route-48,(1125.0 0.0 600.0),(675.0 0.0 150.0),111.766,0,78.658
Truck-38,Route-38,(675.0 0.0 600.0),(1125.0 0.0 300.0),107.743,0,85.719
Truck-12,Route-12,(1125.0 0.0 300.0),(675.0 0.0 300.0),122.262,57.142,43.078
Truck-28,Route-28,(1125.0 0.0 450.0),(675.0 0.0 450.0),117.46,58.084,37.331
Truck-3,Route-3,(225.0 0.0 600.0),(1125.0 0.0 450.0),133.327,0,100.218
